Date,Min,Max,Min,Max,Min,Max
10/19/19,18.4 °C,21.1 °C,45.2 %RH,52.0 %RH,8.2 °C,10.5 °C
10/20/19,20.8 °C,26.0 °C,36.0 %RH,53.7 %RH,9.4 °C,12.3 °C
10/21/19,19.3 °C,29.4 °C,28.7 %RH,57.9 %RH,7.7 °C,13.7 °C
10/22/19,20.6 °C,42.6 °C,18.4 %RH,59.9 %RH,8.9 °C,15.8 °C
10/23/19,19.8 °C,35.1 °C,24.3 %RH,54.0 %RH,7.4 °C,13.8 °C
10/24/19,11.8 °C,45.7 °C,10.6 %RH,50.6 %RH,-0.4 °C,7.7 °C
10/25/19,14.3 °C,43.9 °C,9.9 %RH,54.8 %RH,-1.6 °C,17.2 °C
10/26/19,16.3 °C,42.2 °C,9.4 %RH,25.8 %RH,-8.3 °C,8.7 °C
10/27/19,19.0 °C,52.9 °C,7.7 %RH,26.3 %RH,-8.1 °C,7.1 °C
10/28/19,14.9 °C,46.6 °C,16.7 %RH,63.4 %RH,-0.0 °C,17.0 °C
10/29/19,13.4 °C,47.7 °C,12.3 %RH,91.0 %RH,2.8 °C,15.7 °C
10/30/19,13.3 °C,39.6 °C,18.9 %RH,92.0 %RH,8.9 °C,17.9 °C
10/31/19,11.3 °C,27.9 °C,29.2 %RH,100.0 %RH,6.3 °C,17.3 °C
11/1/19,9.4 °C,29.9 °C,27.1 %RH,100.0 %RH,7.6 °C,15.8 °C
11/2/19,9.0 °C,35.6 °C,19.2 %RH,91.6 %RH,5.4 °C,14.9 °C
11/3/19,8.6 °C,42.3 °C,16.7 %RH,93.6 %RH,2.5 °C,11.9 °C
11/4/19,10.4 °C,47.4 °C,10.6 %RH,85.1 %RH,-1.7 °C,11.3 °C
11/5/19,11.5 °C,45.6 °C,7.7 %RH,81.1 %RH,-9.0 °C,11.1 °C
11/6/19,13.3 °C,46.0 °C,15.0 %RH,86.1 %RH,-1.0 °C,13.4 °C
11/7/19,12.8 °C,47.3 °C,11.1 %RH,62.0 %RH,0.1 °C,10.2 °C
11/8/19,17.8 °C,47.8 °C,9.6 %RH,44.4 %RH,-0.6 °C,10.6 °C
11/9/19,21.4 °C,50.1 °C,7.4 %RH,35.5 %RH,1.2 °C,10.2 °C
11/10/19,18.5 °C,47.6 °C,13.5 %RH,80.5 %RH,4.4 °C,17.3 °C
11/11/19,13.2 °C,46.5 °C,13.5 %RH,89.5 %RH,2.2 °C,14.8 °C
11/12/19,20.3 °C,40.1 °C,14.5 %RH,33.6 %RH,3.1 °C,8.1 °C
11/13/19,19.6 °C,52.2 °C,9.6 %RH,36.0 %RH,1.8 °C,8.7 °C
11/14/19,20.0 °C,55.1 °C,8.2 %RH,27.1 %RH,0.5 °C,7.5 °C
11/15/19,19.3 °C,55.4 °C,8.4 %RH,48.0 %RH,3.1 °C,11.6 °C
11/16/19,18.2 °C,60.1 °C,7.7 %RH,54.5 %RH,2.0 °C,12.6 °C
11/17/19,19.2 °C,58.0 °C,8.2 %RH,61.1 %RH,5.4 °C,12.8 °C
11/18/19,17.4 °C,57.7 °C,10.1 %RH,75.0 %RH,6.2 °C,16.0 °C
11/19/19,17.3 °C,43.8 °C,20.4 %RH,78.3 %RH,8.9 °C,17.8 °C
11/20/19,14.5 °C,41.3 °C,14.7 %RH,71.1 %RH,-2.1 °C,12.1 °C
11/21/19,8.9 °C,44.9 °C,6.9 %RH,70.5 %RH,-10.4 °C,5.9 °C
11/22/19,12.4 °C,46.1 °C,6.5 %RH,63.1 %RH,-4.0 °C,6.3 °C
11/23/19,14.7 °C,48.5 °C,8.4 %RH,40.1 %RH,-2.3 °C,8.1 °C
11/24/19,15.6 °C,48.6 °C,8.9 %RH,57.4 %RH,4.4 °C,9.4 °C
11/25/19,16.5 °C,47.6 °C,11.8 %RH,75.0 %RH,-1.4 °C,12.2 °C
11/26/19,17.6 °C,53.5 °C,8.9 %RH,27.9 %RH,-2.6 °C,8.6 °C
11/27/19,16.9 °C,55.7 °C,7.4 %RH,35.2 %RH,-1.1 °C,8.2 °C
11/28/19,18.8 °C,44.6 °C,13.8 %RH,45.2 %RH,2.7 °C,12.7 °C
11/29/19,14.3 °C,38.6 °C,12.3 %RH,51.1 %RH,-0.9 °C,6.8 °C
