Date,Min,Max,Min,Max,Min,Max
19/7/19,11.3 °C,25.4 °C,53.6 %RH,100.0 %RH,10.2 °C,15.8 °C
20/7/19,5.3 °C,21.6 °C,69.4 %RH,100.0 %RH,5.3 °C,16.5 °C
21/7/19,3.8 °C,23.6 °C,71.5 %RH,100.0 %RH,3.8 °C,18.8 °C
22/7/19,6.7 °C,24.3 °C,72.6 %RH,100.0 %RH,6.7 °C,19.1 °C
23/7/19,4.2 °C,22.5 °C,60.6 %RH,100.0 %RH,4.2 °C,15.2 °C
24/7/19,4.9 °C,27.3 °C,53.9 %RH,100.0 %RH,4.9 °C,17.9 °C
25/7/19,5.6 °C,24.6 °C,51.3 %RH,100.0 %RH,5.6 °C,16.2 °C
26/7/19,7.1 °C,28.3 °C,52.7 %RH,100.0 %RH,7.1 °C,18.5 °C
27/7/19,5.4 °C,28.0 °C,44.1 %RH,100.0 %RH,5.4 °C,15.7 °C
28/7/19,4.3 °C,25.7 °C,51.1 %RH,100.0 %RH,4.3 °C,17.8 °C
29/7/19,7.2 °C,26.8 °C,46.3 %RH,100.0 %RH,7.2 °C,15.1 °C
30/7/19,7.4 °C,28.8 °C,33.3 %RH,100.0 %RH,7.4 °C,13.2 °C
31/7/19,5.2 °C,26.0 °C,33.3 %RH,100.0 %RH,2.7 °C,9.8 °C
1/8/19,2.9 °C,26.7 °C,27.2 %RH,95.9 %RH,1.7 °C,9.4 °C
2/8/19,7.4 °C,30.9 °C,28.2 %RH,83.3 %RH,3.1 °C,11.3 °C
3/8/19,8.6 °C,32.9 °C,28.2 %RH,100.0 %RH,4.0 °C,16.1 °C
4/8/19,7.9 °C,31.2 °C,42.5 %RH,100.0 %RH,7.9 °C,18.3 °C
5/8/19,6.3 °C,27.2 °C,42.5 %RH,100.0 %RH,6.3 °C,15.7 °C
6/8/19,5.5 °C,27.2 °C,43.9 %RH,100.0 %RH,5.5 °C,17.0 °C
7/8/19,1.3 °C,23.4 °C,34.6 %RH,100.0 %RH,1.3 °C,11.7 °C
8/8/19,-0.1 °C,25.3 °C,40.4 %RH,100.0 %RH,-0.1 °C,11.3 °C
9/8/19,3.0 °C,25.9 °C,43.3 %RH,100.0 %RH,3.0 °C,14.0 °C
10/8/19,4.4 °C,27.2 °C,37.0 %RH,100.0 %RH,4.4 °C,13.0 °C
11/8/19,6.4 °C,30.8 °C,25.4 %RH,96.2 %RH,4.1 °C,11.3 °C
12/8/19,7.2 °C,33.4 °C,22.2 %RH,100.0 %RH,3.0 °C,11.3 °C
13/8/19,9.3 °C,34.2 °C,40.4 %RH,100.0 %RH,9.3 °C,19.2 °C
14/8/19,6.4 °C,21.0 °C,79.3 %RH,100.0 %RH,6.4 °C,20.1 °C
15/8/19,2.0 °C,23.6 °C,50.5 %RH,100.0 %RH,2.0 °C,15.1 °C
16/8/19,-0.5 °C,27.4 °C,43.3 %RH,100.0 %RH,-0.5 °C,14.5 °C
17/8/19,2.6 °C,22.5 °C,56.6 %RH,100.0 %RH,2.6 °C,13.9 °C
18/8/19,-0.1 °C,23.9 °C,37.8 %RH,100.0 %RH,-0.1 °C,10.3 °C
19/8/19,2.2 °C,25.7 °C,28.9 %RH,100.0 %RH,2.2 °C,8.4 °C
20/8/19,3.0 °C,29.1 °C,18.4 %RH,93.3 %RH,-0.9 °C,7.5 °C
21/8/19,5.5 °C,31.7 °C,18.4 %RH,68.0 %RH,-2.2 °C,6.2 °C
22/8/19,2.4 °C,33.6 °C,15.6 %RH,100.0 %RH,-3.2 °C,14.4 °C
23/8/19,5.5 °C,26.0 °C,37.8 %RH,100.0 %RH,5.2 °C,16.1 °C
24/8/19,0.7 °C,26.1 °C,30.9 %RH,100.0 %RH,0.7 °C,10.3 °C
25/8/19,0.8 °C,29.6 °C,24.9 %RH,100.0 %RH,0.8 °C,8.5 °C
26/8/19,4.6 °C,29.8 °C,23.4 %RH,90.1 %RH,2.1 °C,8.8 °C
27/8/19,7.3 °C,33.8 °C,21.4 %RH,64.7 %RH,0.7 °C,9.6 °C
28/8/19,9.8 °C,39.6 °C,14.6 %RH,66.2 %RH,0.4 °C,9.6 °C
29/8/19,9.4 °C,30.3 °C,40.2 %RH,100.0 %RH,5.9 °C,17.5 °C
30/8/19,8.4 °C,28.4 °C,51.1 %RH,100.0 %RH,8.4 °C,19.5 °C
31/8/19,8.2 °C,29.3 °C,45.8 %RH,100.0 %RH,8.2 °C,19.2 °C
1/9/19,5.1 °C,32.3 °C,37.5 %RH,100.0 %RH,5.1 °C,18.4 °C
2/9/19,7.8 °C,32.1 °C,34.9 %RH,100.0 %RH,7.8 °C,18.9 °C
3/9/19,5.0 °C,32.1 °C,34.3 %RH,100.0 %RH,5.0 °C,17.1 °C
4/9/19,4.2 °C,29.7 °C,28.9 %RH,100.0 %RH,4.2 °C,14.4 °C
5/9/19,2.0 °C,29.2 °C,25.4 %RH,100.0 %RH,-1.5 °C,8.7 °C
6/9/19,3.2 °C,34.1 °C,17.2 %RH,74.1 %RH,-1.5 °C,6.1 °C
7/9/19,1.9 °C,36.6 °C,16.3 %RH,94.3 %RH,1.0 °C,7.6 °C
8/9/19,7.4 °C,41.6 °C,14.6 %RH,77.5 %RH,1.9 °C,9.4 °C
9/9/19,8.3 °C,44.4 °C,13.5 %RH,70.0 %RH,0.8 °C,10.7 °C
10/9/19,6.8 °C,43.8 °C,15.4 %RH,100.0 %RH,3.4 °C,15.9 °C
11/9/19,14.4 °C,40.6 °C,26.4 %RH,100.0 %RH,9.7 °C,18.5 °C
12/9/19,9.3 °C,43.5 °C,18.4 %RH,94.3 %RH,8.1 °C,17.8 °C
13/9/19,9.0 °C,46.3 °C,15.4 %RH,100.0 %RH,8.5 °C,16.4 °C
14/9/19,10.7 °C,45.5 °C,16.5 %RH,93.0 %RH,9.6 °C,17.2 °C
15/9/19,12.0 °C,39.8 °C,29.4 %RH,100.0 %RH,11.7 °C,20.8 °C
16/9/19,11.5 °C,41.8 °C,16.1 %RH,100.0 %RH,7.6 °C,16.1 °C
17/9/19,9.9 °C,40.3 °C,21.2 %RH,100.0 %RH,9.9 °C,17.9 °C
18/9/19,8.8 °C,37.2 °C,26.4 %RH,100.0 %RH,8.8 °C,16.2 °C
19/9/19,5.2 °C,26.8 °C,32.5 %RH,100.0 %RH,4.6 °C,20.1 °C
20/9/19,1.4 °C,29.0 °C,20.4 %RH,100.0 %RH,-0.7 °C,6.5 °C
21/9/19,2.6 °C,32.0 °C,18.2 %RH,92.4 %RH,-0.8 °C,5.9 °C
22/9/19,3.7 °C,36.8 °C,14.4 %RH,82.7 %RH,-0.2 °C,6.2 °C
23/9/19,7.5 °C,39.5 °C,12.3 %RH,64.4 %RH,-3.9 °C,5.4 °C
24/9/19,10.3 °C,44.3 °C,10.2 %RH,46.0 %RH,-4.1 °C,7.9 °C
25/9/19,3.5 °C,42.2 °C,9.5 %RH,74.1 %RH,-1.5 °C,7.1 °C
26/9/19,8.1 °C,40.6 °C,17.2 %RH,100.0 %RH,7.1 °C,14.1 °C
27/9/19,8.7 °C,41.5 °C,16.8 %RH,89.2 %RH,6.8 °C,12.4 °C
28/9/19,10.4 °C,42.1 °C,19.4 %RH,100.0 %RH,7.2 °C,16.1 °C
29/9/19,8.1 °C,46.1 °C,0.0 %RH,100.0 %RH,-16.4 °C,46.1 °C
30/9/19,12.8 °C,44.4 °C,0.0 %RH,100.0 %RH,-19.3 °C,39.8 °C
1/10/19,11.7 °C,40.6 °C,0.0 %RH,100.0 %RH,-34.5 °C,31.3 °C
2/10/19,7.3 °C,42.1 °C,0.0 %RH,100.0 %RH,-19.1 °C,34.4 °C
3/10/19,7.2 °C,44.8 °C,4.6 %RH,100.0 %RH,-18.3 °C,41.8 °C
4/10/19,14.0 °C,32.5 °C,0.0 %RH,100.0 %RH,-19.0 °C,29.3 °C
5/10/19,11.9 °C,34.0 °C,0.0 %RH,100.0 %RH,-27.6 °C,22.8 °C
6/10/19,7.8 °C,39.8 °C,0.0 %RH,88.3 %RH,-17.5 °C,33.2 °C
7/10/19,8.6 °C,40.6 °C,0.0 %RH,100.0 %RH,-19.4 °C,36.3 °C
8/10/19,14.2 °C,48.8 °C,0.0 %RH,100.0 %RH,-8.1 °C,48.8 °C
9/10/19,9.8 °C,49.9 °C,0.0 %RH,100.0 %RH,-32.8 °C,48.7 °C
10/10/19,12.0 °C,45.8 °C,10.2 %RH,100.0 %RH,-12.2 °C,44.8 °C
11/10/19,8.9 °C,42.4 °C,0.0 %RH,100.0 %RH,-11.4 °C,38.6 °C
12/10/19,11.5 °C,29.7 °C,0.0 %RH,100.0 %RH,-27.8 °C,24.6 °C
13/10/19,6.8 °C,38.6 °C,0.0 %RH,100.0 %RH,-38.8 °C,29.2 °C
14/10/19,6.0 °C,37.9 °C,0.0 %RH,100.0 %RH,-26.8 °C,27.4 °C
15/10/19,7.0 °C,34.2 °C,0.0 %RH,100.0 %RH,-28.5 °C,26.8 °C
16/10/19,6.9 °C,37.7 °C,0.0 %RH,100.0 %RH,-33.0 °C,27.8 °C
17/10/19,5.8 °C,43.2 °C,0.0 %RH,100.0 %RH,-28.5 °C,41.0 °C
18/10/19,10.3 °C,41.9 °C,0.0 %RH,100.0 %RH,-31.3 °C,38.6 °C
19/10/19,14.7 °C,50.9 °C,0.0 %RH,100.0 %RH,-5.9 °C,49.1 °C
20/10/19,11.0 °C,44.7 °C,2.8 %RH,100.0 %RH,-26.7 °C,41.5 °C
21/10/19,8.7 °C,44.0 °C,0.0 %RH,100.0 %RH,-28.1 °C,41.7 °C
22/10/19,8.8 °C,47.2 °C,0.0 %RH,100.0 %RH,-39.3 °C,47.2 °C
23/10/19,13.7 °C,41.4 °C,0.0 %RH,100.0 %RH,-24.5 °C,35.5 °C
24/10/19,10.6 °C,38.8 °C,0.0 %RH,93.7 %RH,-11.4 °C,32.2 °C
25/10/19,7.4 °C,40.1 °C,0.0 %RH,100.0 %RH,-32.2 °C,35.3 °C
26/10/19,8.6 °C,47.1 °C,0.0 %RH,100.0 %RH,-31.0 °C,47.1 °C
27/10/19,15.4 °C,52.3 °C,0.0 %RH,100.0 %RH,-7.8 °C,48.3 °C
28/10/19,13.4 °C,45.2 °C,0.0 %RH,100.0 %RH,-9.9 °C,44.0 °C
29/10/19,12.2 °C,48.4 °C,0.0 %RH,100.0 %RH,-17.1 °C,48.4 °C
